2026-07-15 12:41:18 | INFO | preprocessing_data | Start preprocessing
2026-07-15 12:41:18 | INFO | preprocessing_data | Project root: E:\Codebase_ID-GRec\ID-GRec-verify-TaxPro-CL
2026-07-15 12:41:18 | INFO | preprocessing_data | Output directory: E:\Codebase_ID-GRec\ID-GRec-verify-TaxPro-CL\preprocessed
2026-07-15 12:41:18 | INFO | preprocessing_data | Model-ready dataset directory: E:\Codebase_ID-GRec\ID-GRec-verify-TaxPro-CL\dataset_verify
2026-07-15 12:41:18 | INFO | preprocessing_data | Configuration: domains=('amazon', 'yelp') strategy=primary seeds=[42, 123, 2026] dataset_seed=42
2026-07-15 12:41:18 | INFO | preprocessing_data | [amazon] Loading dataset
2026-07-15 12:41:20 | INFO | preprocessing_data | [amazon] Applying 5-core filtering
2026-07-15 12:41:29 | INFO | preprocessing_data | [amazon] 5-core filtering completed: users 52643->52642, items 91599->88416, interactions 2380730->2372615, iterations=3
2026-07-15 12:41:30 | INFO | preprocessing_data | [amazon] Loading merged metadata: E:\Codebase_ID-GRec\ID-GRec-verify-TaxPro-CL\metadata\merged_metadata_amazon.json
2026-07-15 12:41:41 | INFO | preprocessing_data | Loaded taxonomy for 88416/88416 active items
2026-07-15 12:41:41 | INFO | preprocessing_data | [amazon] Building taxonomy
2026-07-15 12:41:42 | INFO | preprocessing_data | [amazon] Merging small leaf categories
2026-07-15 12:41:43 | INFO | preprocessing_data | [amazon] Building item2category
2026-07-15 12:41:48 | INFO | preprocessing_data | Saved E:\Codebase_ID-GRec\ID-GRec-verify-TaxPro-CL\metadata\item2category_amazon.json (50329193 bytes)
2026-07-15 12:41:48 | INFO | preprocessing_data | [amazon] Generating visualization
2026-07-15 12:41:50 | INFO | preprocessing_data | [amazon] Visualization saved: E:\Codebase_ID-GRec\ID-GRec-verify-TaxPro-CL\preprocessed\taxonomy_distribution_amazon.png
2026-07-15 12:41:50 | INFO | preprocessing_data | [amazon] Creating train/validation split
